Q,A,RAG
In which episode do the boys parody the Lord of the Rings movie trilogy?,"“The Return of the Fellowship of the Ring to the Two Towers” (Season 6, Episode 13).","
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Kyle : That quest sucks, Cartman! Think of another one!

Randy : [entering] Uh, boys, [the boys look up] Butters' parents want to borrow The Lord of the Rings video we rented. Could you take it over to them?
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md turns off the TV, gets the video out, and reads] This is Lord of the Rings! Sharon : But then that mean..? Randy : The boys have the hottest porno ever made. Scene Description : Stotch residence. The boys approach. Kyle knocks, Stephen and Linda open the front door. Stephen : Oh, hello boys. Stan :
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md boys approach. Kyle knocks, Stephen and Linda open the front door. Stephen : Oh, hello boys. Stan : My father has asked that we bring you this copy of Lord of the Rings. Stephen : Well, thank you very much, kind heroes. Cartman : Perhaps a reward is in order. Gold? Frankensteincense? Stephen : Oh,
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Scene Description : The woods, later. The boys walk through it.

Narrator : The quest continued to return The Lord of the Rings to the video store.

Stan : Man, we should have never crossed that stupid river.

Kyle : Yeah. Good job, wizard fat ass! Now we're totally lost.
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Sharon : But then that mean..?

Randy : The boys have the hottest porno ever made.

Scene Description : Stotch residence. The boys approach. Kyle knocks, Stephen and Linda open the front door.

Stephen : Oh, hello boys.

Stan : My father has asked that we bring you this copy of Lord of the Rings.
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Uh, boys, [the boys look up] Butters' parents want to borrow The Lord of the Rings video we rented. Could you take it over to them? Stan : You're sending us on... a quest? You ask of us to take the one video to the House of Butters? Randy : Yeah, whatever. Cartman : It shall be a long journey with
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Lord of the Rings wasn't the only thing I rented from the video store. [holds up a VHS case] I also rented... a porno. Sharon : Oho, you little devil. Randy : [softly, sensually] You wanna go watch? Scene Description : Neighborhood streets. The boys are well into their quest. Stan : How shall we
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Scene Description : The woods, later. The camera moves from a clearing to a tree with a large root shading a pocket underneath. The boys come into view. Kyle : We can't let those sixth graders get their hands on this videotape. Cartman : I must say I agree. If this copy of The Lord of the Rings is
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Luckily, Cartman's big enough for the both of us. [a bit lower] Shut up, Kenny. Scene Description : Kenosha Pass, snowing. The boys walk along the highway through the pass. Narrator : So it was that the heroes traveled many miles to return The Lord of the Rings to the video store. Kyle : We have
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Kyle : [walks off. Butters is saddened] The Queen and King of Stan'ses house wish The Lord of the Rings returned to them.

Butters : But it's the greatest movie I have ever seen. You guys were right. Lord of the Rings is awesome. Eh, you have to let me finish watching it."
What famous comedian is parodied in the episode “South Park is Gay!”?,George Clooney.,"
data/scripts/Lil'_Crime_Stoppers.md Stan : South Park Junior Detectives! We know you have Sarah Peterson's doll!

Fosse : [giggles] They're playing Detective. [they giggle]

Bill : That's gay. [they giggle]

Fosse : [calls out] You're gay! [outside, the boys lower their guns.]

Kyle : What do we do now?

Stan : I don't know.
data/scripts/Lil'_Crime_Stoppers.md it?! Stan : South Park Junior Detectives! We know you have Sarah Peterson's doll! Fosse : [giggles] They're playing Detective. [they giggle] Bill : That's gay. [they giggle] Fosse : [calls out] You're gay! [outside, the boys lower their guns.] Kyle : What do we do now? Stan : I don't know. Cartman
data/scripts/The_F_Word.md Stan : ""Bike-curious""! Don't you people keep up with today's lingo at all?! Kenny : [puts his head in his hands out of frustration] (Jesus fucking Christ!) Scene Description : The South Park Community Center, evening. Big Gay Al is holding a meeting there. Big Gay Al : Fellow homosexuals, I believe
data/scripts/The_Death_Camp_of_Tolerance.md Scene Description : South Park Elementary, Counselor Mackey's office.

Mr. Mackey : Parents, I had to call you in here because your boys have refused to attend class with their homosexual teachers, m'kay?

Stan : We're not staying in class another minute with those queermos!
data/scripts/South_Park_is_Gay!.md Sheila : I don't know. Sometimes boys take cultural fads too far...

Scene Description : South Park, day. The boys go to school in their new threads. They stop at the main entrance.

Stan : Dude, I can't wait for Wendy to see how gay I look!
data/scripts/Sexual_Harassment_Panda.md Stan : Yeah, Sexual Harassment Panda. He's the one that started all this. We have to find him!

Chef : Well, I hope you do. Otherwise, it's lumpy potatoes from here on out.

Cartman : Noooo! [runs out]

Scene Description : South Park School Board meeting
data/scripts/It_Hits_the_Fan.md Scene Description : South Park, bar, night. The men are gathered there once again

Announcer : Get ready for ""Must Shit TV""! Starting now, four straight hours of pure shit! It's all live!
data/scripts/Big_Gay_Al's_Big_Gay_Boat_Ride.md Crowd : Wooooh!

Stan : And it's okay to be gay!

Scene Description : The crowd falls silent.

Jimbo : What?!

Stan : Being gay is just part of nature, and a beautiful thing.

Mr. Garrison : What the hell is he talking about?
data/scripts/You_Got_F'd_in_the_A.md then the SP side. The Blacks, Jimbo, Ned, Skeeter, and Mr. Garrison are in that audience. The South Park crew is then shown with Chef MC : Ladies and Gentlemen, Scene Description : The Marshes are shown, Randy with his portable oxygen tank and wheelchair. MC : man, you are all in for a treat!
data/scripts/The_F_Word.md Mayor. Just because a person is gay doesn't mean he's a fag. Mayor McDaniels : What?! You four boys, in my office, NOW! Stan : Aw crap! Scene Description : South Park Public Library, day. A row of motorcycles is at the front door. Lead Biker : Faggot, often shortened to fag, has been used in the"
Which famous Disney princess is parodied in the South Park episode “The Princess”?,Elsa from Frozen.,"
data/scripts/Chef_Goes_Nanners.md Scene Description : South Park Elementary, school library. Wendy has assembled her team and leads them through preliminary items. In her team are Bebe, Clyde, Butters, Token, Kevin, and three others. Cartman is not there yet.
data/scripts/Helen_Keller!_The_Musical.md Scene Description : The South Park Community Theatre, backstage. Timmy and Lamond watch Alinicia perform.

Lamond : She's brilliant! Everyone loves her so far. [the two workers approach him]

Cartman : [rushes up] Hey, the fountains you guys installed are shorting out some of our lights.
data/scripts/South_Park_is_Gay!.md Scene Description : South Park, school bus stop, morning. Stan, Cartman and Kenny wait for the bus. Stan is dressed in fishnet tank top, artsy pants, and a new, furry cap with the same colors as his old one. Cartman is dressed in a Madonna fashion shirt and artsy pants. His hair is tussled and
data/scripts/South_Park_is_Gay!.md Scene Description : South Park, school bus stop, morning. Stan, Cartman and Kenny wait for the bus. Stan is dressed in fishnet tank top, artsy pants, and a new, furry cap with the same colors as his old one. Cartman is dressed in a Madonna fashion shirt and artsy pants. His hair is tussled and
data/scripts/Helen_Keller!_The_Musical.md Scene Description : The South Park Community Theatre, stage. Stan, Kyle, Wendy, and Jeffrey are in costume

Wendy : There is nothing we can do for our poor daughter. We cannot reach her.
data/scripts/Cash_For_Gold.md Scene Description : South Park Elementary, playground, day. During recess, Butters twirls a sign around, while Cartman is decked out in all sorts of jewelry.
data/scripts/Fat_Camp.md It was a lady in a costume! Cartman : [miffed] Would somebody put this retard out of his misery?! Scene Description : South Park Elementary, day, playground. Stan and Pip stand by Kenny, who's groaning in pain and holding his stomach. Kyle : [walks up with Butters] What's the matter? Stan : Kenny's
data/scripts/Fat_Camp.md Taller Boy : Heh! It was a lady in a costume!

Cartman : [miffed] Would somebody put this retard out of his misery?!

Scene Description : South Park Elementary, day, playground. Stan and Pip stand by Kenny, who's groaning in pain and holding his stomach.
data/scripts/The_Poor_Kid.md Scene Description : South Park Elementary, hallway. Bill and Red are chatting, Lola talks to Bebe. As the kids mill around, Cartman comes around the corner and moves from person to person as he speaks.
data/scripts/Fourth_Grade.md Scene Description : South Park Elementary, outside. The bell rings, and the students head out onto the playground.

Stan : What a bitch!

Kyle : And did you see her lazy eye? You can't even tell what she's looking at.

Cartman : You guys are all such pussies!"
In which episode does South Park parody the reality TV show The Bachelor?,"“The Bachelor” (Season 12, Episode 9).","
data/scripts/It_Hits_the_Fan.md off] Scene Description : South Park, bar, night. The men are gathered there once again Announcer : Get ready for ""Must Shit TV""! Starting now, four straight hours of pure shit! It's all live! Scene Description : On the set of the Drew Carey show. Drew and Mimi are onstage, with Drew sitting at his
data/scripts/Free_Hat.md Announcer : [""COMING THIS SUMMER""] Coming, this summer! [""RE-RELEASE OF EPISODE 1 SOUTHPARK""] It's the digitally-re-enhanced re-release of the very first pilot episode of South Park! [scenes from ""Cartman Gets An Anal Probe"" play - the cafeteria, the boys walking down the street, Stan, Kyle, and
data/scripts/It_Hits_the_Fan.md Scene Description : South Park, bar, night. The men are gathered there once again

Announcer : Get ready for ""Must Shit TV""! Starting now, four straight hours of pure shit! It's all live!
data/scripts/Helen_Keller!_The_Musical.md is onstage to introduce the last skit of the night Mr. Garrison : And finally tonight, parents, we have the South Park Kindergarten class. Their play is titled, ""Thanksgiving, Mon Ami."" Stan : Okay, here we go. [the kids are still backstage, but in their street clothes] Kyle : Dude, it just can't
data/scripts/You_Got_F'd_in_the_A.md then the SP side. The Blacks, Jimbo, Ned, Skeeter, and Mr. Garrison are in that audience. The South Park crew is then shown with Chef MC : Ladies and Gentlemen, Scene Description : The Marshes are shown, Randy with his portable oxygen tank and wheelchair. MC : man, you are all in for a treat!
data/scripts/Fishsticks.md ass! [stands up pushes him off his chair] Scene Description : South Park Elementary, day. The kids are having lunch in the school cafeteria. Stan and Kyle sit opposite each other this time. Cartman : And then it was on Leno and the Jimmy Kimmel show! Dude, that's our joke on national television.
data/scripts/Free_Hat.md : [""COMING THIS SUMMER""] Coming, this summer! [""RE-RELEASE OF EPISODE 1 SOUTHPARK""] It's the digitally-re-enhanced re-release of the very first pilot episode of South Park! [scenes from ""Cartman Gets An Anal Probe"" play - the cafeteria, the boys walking down the street, Stan, Kyle, and Wendy in the
data/scripts/Big_Gay_Al's_Big_Gay_Boat_Ride.md Kyle : Well, maybe Mr. Garrison is wrong. You should ask somebody else.

Stan : Like who?

Scene Description : Inside Stan's house, Jesus and Pals' title screen is on TV.

TV Announcer : And now back to Jesus and Pals on South Park public access.
data/scripts/Weight_Gain_4000.md Park? Mr. Garrison : And the presentation will be on national television. Stan, Kyle : Television! Mr. Garrison : [Thinking to himself.] Kathie Lee Gifford. I don't believe it. Scene Description : City Hall. Mayor's Office. Mayor McDaniels : Kathie Lee Gifford in South Park! Oh my God! This is our
data/scripts/Fishsticks.md Scene Description : South Park Elementary, day. The kids are having lunch in the school cafeteria. Stan and Kyle sit opposite each other this time.

Cartman : And then it was on Leno and the Jimmy Kimmel show! Dude, that's our joke on national television.

Kyle : We know, Cartman!"
In which episode does the show parody The Hunger Games?,"“The Pandemic Special” (Season 24, Episode 1).","
data/scripts/The_Simpsons_Already_Did_It.md Mr. Garrison : Every idea's been done, Butters, even before the Simpsons.

Chef : Yeah. In fact, that episode was a rip-off of a Twilight Zone episode.
data/scripts/Starvin'_Marvin.md is holding food from us!!! Scene Description : They turn to look at him. Sally Struthers : Uh oh. Scene Description : She just can't eat that cake fast enough. Scene Description : South Park Forest. The battle continues. The turkeys fight valiently, but many are falling. Ike beheads a turkey.
data/scripts/The_Pandemic_Special.md Scene Description : The episode begins with a bleak landscape. Everything in town looks abandoned and decayed. In the school playground, one of the swings is falling apart. At the bus stop, a shoe print echoes the one at the moon landing, while a Vons sign is on the ground nearby. Butters sits on
data/scripts/The_Pandemic_Special.md Scene Description : The episode begins with a bleak landscape. Everything in town looks abandoned and decayed. In the school playground, one of the swings is falling apart. At the bus stop, a shoe print echoes the one at the moon landing, while a Vons sign is on the ground nearby. Butters sits on
data/scripts/The_Simpsons_Already_Did_It.md Dougie : Episode 9F17 entitled ""So It's Come To This!""

Butters : [seethes for a few seconds] Fine! Then maybe I'll just forget about destroying the town and just run away and join the circus! [sits down next to Dougie]

Dougie : ...Simpsons did it.

Butters : Dwaah!!
data/scripts/Butters'_Very_Own_Episode.md Description : ""The Butters Show"" splash screen, but now only ""Butters"" is on the screen. Choir : Everyone know it's Butters! Butters : [pops out through an exploding hole and points to himself with his thumb] Uh, that's me! Scene Description : South Park, night, the seedy side of town. Butter's
data/scripts/The_Simpsons_Already_Did_It.md soccer riot can destroy the- Dougie : Simpsons did it! Simpsons did it! Butters : [flips to plan #125-E] Take all the beer cans in South Park and have them shaken up in a huge mixer at the paint store so that- Dougie : Episode 9F17 entitled ""So It's Come To This!"" Butters : [seethes for a few
data/scripts/You're_Not_Yelping.md Cartman : Oh God, now everyone thinks they're a food critic.

Scene Description : South Park Elementary, hallway, day. Cartman puts his books in his locker and walks away when Butters catches him

Butters : Did you get 'em? Did you get 'em? Did you get 'em? Huh?
data/scripts/The_Simpsons_Already_Did_It.md be. Dougie : Uh oh, Simpsons did it! Simpsons did it! [a shot of the TV] Butters : No! No! [begins hallucinating] Dougie : [now looking like Bart and no longer in costume] Simpsons did it! Simpsons did it! Butters : Aaaaah! Dougie : Don't have a cow, man. Butters : Oh sweet Jesus! Scene Description
data/scripts/The_Simpsons_Already_Did_It.md store so that- Dougie : Episode 9F17 entitled ""So It's Come To This!"" Butters : [seethes for a few seconds] Fine! Then maybe I'll just forget about destroying the town and just run away and join the circus! [sits down next to Dougie] Dougie : ...Simpsons did it. Butters : Dwaah!! Scene Description"
"In “The Coon” episodes, who does Cartman fight against to become the superhero of South Park?","The Coon fights against the evil villain, Professor Chaos (Butters Stotch).","
data/scripts/The_Coon.md them answer him] Kenny? Scene Description : South Park Elementary, day. Cartman is giving an oral report on the Coon, in the form of a FAQ. Cartman : And of course the most common question asked is, just who is he? [he's wearing a ""Who is the Coon?"" shirt] Is he a hero or a menace? [half the class
data/scripts/The_Coon.md appears, but it doesn't look like the Coon's] Cartman : [angrily] What?! Anchor : Curious crowds in the town of South Park, Colorado. [people mill around looking for pictures of Mysterion to take] They've brought binoculars and camera phones trying to get a shot of a mysterious superhero. Man 1 :
data/scripts/The_Coon.md Cartman : [voice over. He's seated alone on a merry-go-round] Which one of them is it? Somebody is dressing up and pretending to be a superhero! But who? Has to be one of the guys in my class, 'cause only they knew that the Coon would be on the rooftop of Walgreens. [shuts his eyes] No, stop. Can't
data/scripts/Fat_Camp.md Scene Description : South Park, the Cartman house. Butters and Timmy have replaced Cartman in the boy's group for now, and they stand in front of the Broflovski parents, Mr. Mackey, Mr. Garrison, Sharon March, Principal Victoria, and Dr. Doctor. They argue amongst themselves.
data/scripts/The_Coon.md Scene Description : South Park Elementary, day. Cartman is giving an oral report on the Coon, in the form of a FAQ.
data/scripts/The_Coon.md Kyle wait for the bus. Cartman walks up to them. Cartman : Hey guys. Good morning. [the guys don't respond to him at all] You guys... hear that another rape victim got saved by a superhero last night? They say it was the Coon. Stan : Who's the Coon? Cartman : I know, right? [enunciating] ""Who is
data/scripts/The_Coon.md Cartman : [angrily] What?!

Anchor : Curious crowds in the town of South Park, Colorado. [people mill around looking for pictures of Mysterion to take] They've brought binoculars and camera phones trying to get a shot of a mysterious superhero.
data/scripts/The_Coon.md Cartman : And of course the most common question asked is, just who is he? [he's wearing a ""Who is the Coon?"" shirt] Is he a hero or a menace? [half the class is bored, and Clyde is asleep at his desk. Mr. Garrison reads quietly at his desk] While we can all admit that the Coon is obviously really
data/scripts/The_Coon.md of an unknown child in South Park who has taken to the streets in an effort to fight crime. Cartman : [suddenly hopeful, looks at the TV] Wha, what? Anchor : But who exactly is... Mysterion? [a silhouette appears, but it doesn't look like the Coon's] Cartman : [angrily] What?! Anchor : Curious
data/scripts/The_Coon.md replies] Motherfucker! Scene Description : South Park Elementary playground, day. The camera looks at various kids at play. Cartman : [voice over. He's seated alone on a merry-go-round] Which one of them is it? Somebody is dressing up and pretending to be a superhero! But who? Has to be one of the"
"In the episode “ManBearPig,” who does Al Gore try to warn the world about?","ManBearPig, a creature that is a mix of man, bear, and pig.","
data/scripts/ManBearPig.md ManBearPig meeting tomorrow morning? I have some evidence he could be in this area. Stan : Eh look, I'm sorry but, we're all kind of busy. Al Gore : [several seconds of silence] Oh. I get it. You don't believe me either. Stan : No, no, it's not that. Al Gore : Yes it is. Nobody believes me! [gets
data/scripts/ManBearPig.md Al Gore : I'm spreading ManBearPig awareness. Here, each of you kids take a pamphlet and a bumper sticker. [Kyle looks at the sticker; the sticker has a ""ManBearPig"" crossed out by a red circle and bar, and the words ""We must all stop ManBearPig"" to the left of the ManBearPig] I hope now you boys
data/scripts/ManBearPig.md Stan : Ih it's okay, Mr. Gore, I, I believe you.

Al Gore : No you don't.

Stan : Yeah, I'm sure ManBearPig needs to be stopped. I'm just... I'm just scared that I can't do anything to stop him.

Al Gore : Are you serial?

Stan : ...Yes, I'm serial.
data/scripts/ManBearPig.md forward] Al Gore : [looks at an opening and motions the kids over] Kids! Kids, over here! Look. Kyle : What? Al Gore : I bet this is where he's hiding. [shines his light around] This looks like ManBearPig Central. Come on! [goes down the path he found] Come on! This is where ManBearPig is! I'm
data/scripts/ManBearPig.md the boys] Al Gore : Hi kids! Come on in! [the boys follow him in] Okay, let's get this meeting started. What do you kids think we should do to stop ManBearPig? Stan : Yyeah, you know, Mr. Gore, uh, my dad's a geologist, and he said that ManBearPig probably isn't in Colorado. Al Gore : [alerted,
data/scripts/ManBearPig.md the goddamned ball! Beast : FOOD! [it's Al Gore in a homemade ManBearPig costume. The boys turn to see who it is] Don't worry, it's not really ManBearPig. It's me, Al Gore. Kyle : We know. [several seconds of silence follow] Cartman : Dude, what are you doing? Al Gore : I'm spreading ManBearPig
data/scripts/ManBearPig.md Al Gore : Hi kids! Come on in! [the boys follow him in] Okay, let's get this meeting started. What do you kids think we should do to stop ManBearPig?

Stan : Yyeah, you know, Mr. Gore, uh, my dad's a geologist, and he said that ManBearPig probably isn't in Colorado.
data/scripts/Imaginationland,_Episode_III.md Al Gore : What's going on here? [no one says a word, and he ""flies"" around a bit more] The military has to do this! It's their only way to kill ManBearPig. [""flies"" off]
data/scripts/ManBearPig.md want somebody in the world to take me serial just for once. Stan : Ih it's okay, Mr. Gore, I, I believe you. Al Gore : No you don't. Stan : Yeah, I'm sure ManBearPig needs to be stopped. I'm just... I'm just scared that I can't do anything to stop him. Al Gore : Are you serial? Stan : ...Yes, I'm
data/scripts/ManBearPig.md my dad's a geologist, and he said that ManBearPig probably isn't in Colorado. Al Gore : [alerted, goes down on one knee] What does your dad look like?? Does he have large hooves where his feet should be?? Stan : NO. Al Gore : Damn. For a minute there, I thought we found him. Stan : Well, this was a"
What was the conspiracy behind the South Park episode “Mysterion Rises”?,The idea that Mysterion (Kenny) is a supernatural force who is trying to protect the world.,"
data/scripts/Time_To_Get_Cereal.md Scene Description : Kyle's room, evening. Kyle is typing away at his computer as Stan looks on.

Stan : Keep looking. There's a lot of people saying they saw it, Kyle. It's not just me.

Kyle : ""Evidence of the creature of South Park."" This is like a conspiracy Web site.
data/scripts/Time_To_Get_Cereal.md a lot of people saying they saw it, Kyle. It's not just me. Kyle : ""Evidence of the creature of South Park."" This is like a conspiracy Web site. Stan : It's not a conspiracy, it's real. Keep going down. There's video. [Kyle scrolls down and stops at ""MAN-BEAR-PIG captured on VIDEO""] There! Right
data/scripts/It_Hits_the_Fan.md HBC President : I didn't know. [begins to weep into his hands] I didn't know!!!

Scene Description : South Park, bar, night. The men watch in increasing disbelief

Randy : I, I can't follow this shitty storyline at all.
data/scripts/Cartoon_Wars_Part_I.md Stan : Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??

Mr. Mackey : Wu-we've got the TV working! [the picture comes into focus]

Scene Description : South Park News 4, Anchor Tom reporting
data/scripts/Two_Days_Before_the_Day_After_Tomorrow.md Tom : In the nearby town of South Park, the cause of the Beaverton flood is being investigated.

Man 1 : That's right! We know whose fault this is!

Stan : Huh oh. [puts his hands to his cheeks. Shelly gives him a funny look]

Man 1 : It's George Bush's fault!
data/scripts/Cartoon_Wars_Part_I.md Guy doesn't care who they insult! They only care about their... precious money! Stan : Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon?? Mr. Mackey : Wu-we've got the TV working! [the picture comes into focus] Scene Description : South Park News 4, Anchor Tom
data/scripts/The_City_Part_of_Town.md for it. Hey, did someone say 'rape?' That's the word for 'clever' here in South Park"" [the camera is back on Randy and Sharon] Randy : [turns off the TV] That's not funny. [gets up and walks away.] Scene Description : South Park Elementary, day. Kids are walking around in the hallway. Stan goes to
data/scripts/The_City_Part_of_Town.md jaws dropped] ""Please open your shotguns and slap your wives!"" [a shot of Butters watching the show on the phone, in bed. He's crying quietly] ""I live in South Park and my IQ's so low I've got's ta dig for it. Hey, did someone say 'rape?' That's the word for 'clever' here in South Park"" [the camera
data/scripts/Gnomes.md Stan : No.

Mr. Garrison : Well, let me put it another way. You have to give your oral report to the entire South Park Town Committee tomorrow. And if it doesn't kick ass, and you make me look bad, Mr. Hat is gonna smack you bitches up!

Tweek : Wagh!
data/scripts/Truth_and_Advertising.md demanding that all of South Park's community leaders step down. The PC frat brothers say they've gone now two days without eating any pussy, and will continue to do so until people resign. Tom : Who is that reporter? Do we... know him? Kevin : Tom, that's Bill Keegan, WCFO. Tom : Thanks, Brian."
"Which conspiracy theorist character did Randy Marsh create, known for his beliefs about aliens?","He created “Tegridy Farms,” a conspiracy of “weed that leads to extraterrestrial visits.”","
data/scripts/Pinewood_Derby.md Stan : Dad they aren't here for that.

Randy : [lowers his guard and shakes Agent Marx's hand] Oh. Hi, I'm Randy Marsh.

Agent Clark : Mr. Marsh, we were just telling your son that thanks to you, we have made first contact with alien life.
data/scripts/Pinewood_Derby.md : Dad they aren't here for that. Randy : [lowers his guard and shakes Agent Marx's hand] Oh. Hi, I'm Randy Marsh. Agent Clark : Mr. Marsh, we were just telling your son that thanks to you, we have made first contact with alien life. Randy : [surprised, softly] What? [looks to his right and says
data/scripts/Season_Finale.md Anchor : And the President of the United States today called the allegations against Randy Marsh ""total, buttfucking bullshit,"" and claims the neighbors who came forward with the evidence video are ""tampon-faced, 69ing whistleblowers."" When asked for clarification, the President's lawyer and
data/scripts/Season_Finale.md Bob : Help support Tegridy Farms and Randy Marsh! Randy Marsh has done nothing wrong! Stop the ridiculous persecution! [Alejandro is mad, so he doesn't ring his bell]
data/scripts/Season_Finale.md Randy : Yeahhh. [jumps forward and takes a long drag]

Scene Description : Breaking News

Field reporter : Tom, I'm standing outside the government building where Randy Marsh is about to be arraigned. Protesters from both sides have gathered here. Some of them who are for the proceedings...
data/scripts/Trapped_in_the_Closet.md Randy : All right, what the hell is going on here?!

President : We've been looking for your son for a long time, Mr. Marsh. He is the reincarnation of our church's most famous prophet.

Sharon : Wwhat??

President : Scientologists the world over are simply rejoicing at his second coming.
data/scripts/Pinewood_Derby.md Stan : Aw crap, Dad! [the men enter the house and walk past Stan. He closes the door behind them]

Agent Clark : Young man, what we are about to tell you is a matter of national security. Yesterday every country and embassy on Earth was contacted by... an alien life force.

Stan : Alien?
data/scripts/Ass_Burgers.md Stan : Huh?

Morpheus : The world around us has all completely turned to shit. But aliens are putting out a brainwave that keeps most people seeing a false reality

Stan : Aliens?
data/scripts/Season_Finale.md Randy Marsh is about to be arraigned. Protesters from both sides have gathered here. Some of them who are for the proceedings... Crowd : Lock him up! Lock him up! Lock him up! Lock him up! Lock him up! Field reporter : ...and also those in support of ending the investigation. The Whites : Let him
data/scripts/Trapped_in_the_Closet.md : We've been looking for your son for a long time, Mr. Marsh. He is the reincarnation of our church's most famous prophet. Sharon : Wwhat?? President : Scientologists the world over are simply rejoicing at his second coming. Randy : Look, we don't want our son to join your group, okay? President :"
In which episode does the show explore the concept of the “deep state”?,"“The Deep State” (Season 24, Episode 3).","
data/scripts/Mysterion_Rises.md to understand. And all will know who and what I truly am! [a swarm of ?'s flies around the screen, and the name of the episode appears]
data/scripts/The_Simpsons_Already_Did_It.md Mr. Garrison : Every idea's been done, Butters, even before the Simpsons.

Chef : Yeah. In fact, that episode was a rip-off of a Twilight Zone episode.
data/scripts/I_Should_Have_Never_Gone_Ziplining.md Scene Description : ""The following program contains graphic re-enactments that may be disturbing to some audience members."" The marina. This is the live-action segment of the episode
data/scripts/The_Pandemic_Special.md Scene Description : The episode begins with a bleak landscape. Everything in town looks abandoned and decayed. In the school playground, one of the swings is falling apart. At the bus stop, a shoe print echoes the one at the moon landing, while a Vons sign is on the ground nearby. Butters sits on
data/scripts/The_Pandemic_Special.md Scene Description : The episode begins with a bleak landscape. Everything in town looks abandoned and decayed. In the school playground, one of the swings is falling apart. At the bus stop, a shoe print echoes the one at the moon landing, while a Vons sign is on the ground nearby. Butters sits on
data/scripts/The_Return_of_the_Fellowship_of_the_Ring_to_the_Two_Towers.md Linda : Ohh God!! [the Stotches panic and rush downstairs. The Marshes follow]

Scene Description : Basement. Chris, Linda, Randy and Sharon enter. The TV is still on, but there's static. Butters isn't around.

Stephen : Butters?

Linda : Butters? [they notice the television] Butters!
data/scripts/Dead_Celebrities.md Scene Description : An episode of Ghost Hunters.
data/scripts/Cartoon_Wars_Part_II.md Kyle : [runs in and interrupts] Sir! Mister television executive! Stop!

FOX President : Who are you?

Kyle : Listen to me: the little boy who convinced you to pull the episode is a bastard child. He only wants you to pull it because he knows it will be the end of Family Guy forever!
data/scripts/Cancelled.md Stan : Look, we just want to talk to you about the show.

Kyle : Please don't cancel us. Please.

Joozian 1 : Oh I'm sorry, Earthlings, but you have to realize the universe is a business.

Joozian 2 : You've made it to a hundred episodes, you should be proud!
data/scripts/Death.md Scene Description : The kids go back to watch the show with Death. They are all laughing.

Scene Description : In front of Cartoon Central."
